,lat,long,headings,segment_links
38.9111017_-77.0506614,38.9111017,-77.0506614,[],"['38.910784150000005_-77.05032215', '38.9114176_-77.0506606', '38.9111137_-77.0500216', '38.91102861428572_-77.05127398571429']"
38.9105537_-77.057146,38.9105537,-77.057146,[],"['38.911057625_-77.0574215', '38.910154733333336_-77.0571345', '38.910547050000005_-77.05767605', '38.9105628_-77.056596875']"
38.9105404_-77.0582061,38.9105404,-77.0582061,[],"['38.91104765_-77.058216575', '38.9101427_-77.058199', '38.9105348_-77.05873425', '38.910547050000005_-77.05767605']"
38.8973612_-77.0449164,38.8973612,-77.0449164,[],"['38.89736156666667_-77.0444348', '38.897851349999996_-77.04490955']"
38.9025278_-77.0448671,38.9025278,-77.0448671,[],"['38.9026464_-77.0448669', '38.9025258_-77.04443', '38.9025285_-77.0450696', '38.9025258_-77.04443', '38.9025285_-77.0450696']"
38.9037335_-77.0449044,38.9037335,-77.0449044,[],"['38.904213375_-77.04489307499999', '38.903735366666666_-77.04442193333333']"
38.905653_-77.0448591,38.905653,-77.0448591,[],"['38.906183766666665_-77.04485736666666', '38.905643233333336_-77.0454534']"
38.9072453_-77.0448539,38.9072453,-77.0448539,[],"['38.90724675_-77.0452767', '38.90757695_-77.0448548']"
38.9085769_-77.0448658,38.9085769,-77.0448658,[],"['38.9081325_-77.0448588', '38.9085774_-77.04531155000001', '38.9085732_-77.0444605', '38.90911415_-77.0448649', '38.9081325_-77.0448588', '38.9085732_-77.0444605']"
38.9101462_-77.0448729,38.9101462,-77.0448729,[],"['38.9096514_-77.044864', '38.910349599999996_-77.04545863333334', '38.910641850000005_-77.0448791', '38.9100733_-77.0446719', '38.9096514_-77.044864', '38.9100733_-77.0446719']"
38.9126061_-77.0448732,38.9126061,-77.0448732,[],['38.9126066_-77.0450674']
38.8973629_-77.0534875,38.8973629,-77.0534875,[],"['38.8973692_-77.0537972', '38.8977624_-77.05342300000001', '38.8971037_-77.053712', '38.8971037_-77.053712', '38.8973692_-77.0537972']"
38.8973603_-77.0417106,38.8973603,-77.0417106,[],"['38.8978544_-77.04170855000001', '38.897360500000005_-77.041149175']"
38.8973623_-77.0434716,38.8973623,-77.0434716,[],"['38.89736163333333_-77.04288460000001', '38.89690456666666_-77.0434705']"
38.8973604_-77.0488622,38.8973604,-77.0488622,[],"['38.89736_-77.04831837500001', '38.8978508_-77.04886020000001']"
38.907639_-77.0376562,38.907639,-77.0376562,[],"['38.907785450000006_-77.03807359999999', '38.9072469_-77.0376666', '38.9072469_-77.0376666']"
38.9090382_-77.0416754,38.9090382,-77.0416754,[],"['38.9085919_-77.041677175', '38.909346_-77.04167165', '38.90916255_-77.04203319999999', '38.90881694_-77.04103852']"
38.9115149_-77.0488134,38.9115149,-77.0488134,[],"['38.9114784_-77.0487065', '38.911705850000004_-77.0493653', '38.9114784_-77.0487065']"
38.9118968_-77.0499172,38.9118968,-77.0499172,[],"['38.9121485_-77.0502508', '38.911705850000004_-77.0493653']"
38.9126404_-77.0513171,38.9126404,-77.0513171,[],['38.9122231_-77.0510478']
38.9079083_-77.0488013,38.9079083,-77.0488013,[],"['38.9079082_-77.04826055', '38.9082397_-77.04879925']"
38.9072469_-77.0376666,38.9072469,-77.0376666,[],"['38.9068586_-77.0376706', '38.907639_-77.0376562', '38.907639_-77.0376562', '38.9068586_-77.0376706', '38.9072476_-77.03808215']"
38.90772_-77.0552587,38.90772,-77.0552587,[],"['38.9077143_-77.0558197', '38.9077143_-77.0558197']"
38.9076984_-77.0570749,38.9076984,-77.0570749,[],"['38.90770635_-77.0564473', '38.90811305_-77.0570841', '38.907284149999995_-77.0570691']"
38.9076863_-77.0581454,38.9076863,-77.0581454,[],"['38.9080987_-77.05815390000001', '38.90727195_-77.05813615', '38.907692350000005_-77.05761015']"
38.9025261_-77.0434635,38.9025261,-77.0434635,[],"['38.9023983_-77.0434655', '38.9025284_-77.0436215', '38.9025244_-77.0433363', '38.9025284_-77.0436215', '38.9025244_-77.0433363']"
38.9037391_-77.043457,38.9037391,-77.043457,[],"['38.9037384_-77.04295935', '38.903191_-77.04345985']"
38.9056454_-77.0434504,38.9056454,-77.0434504,[],"['38.905168825_-77.04345205', '38.905647933333334_-77.04391996666666']"
38.9072457_-77.043448,38.9072457,-77.043448,[],"['38.90685575_-77.0434489', '38.90724556666667_-77.04391663333334']"
38.9090307_-77.0435271,38.9090307,-77.0435271,[],"['38.9090191_-77.043468', '38.90865553333334_-77.04350023333333', '38.9090961_-77.0437997', '38.9090961_-77.0437997']"
38.9118725_-77.043436,38.9118725,-77.043436,[],"['38.91187406666667_-77.04284286666666', '38.9122386_-77.04343399999999', '38.9115065_-77.04343610000001']"
38.9126047_-77.043432,38.9126047,-77.043432,[],"['38.9122386_-77.04343399999999', '38.912605166666665_-77.0439124']"
38.901498_-77.0540348,38.901498,-77.0540348,[],"['38.9011993_-77.0540301', '38.9015755_-77.054036', '38.901499_-77.05438905', '38.9011993_-77.0540301', '38.9015755_-77.054036']"
38.9011993_-77.0540301,38.9011993,-77.0540301,[],"['38.901498_-77.0540348', '38.901498_-77.0540348']"
38.9090144_-77.0513545,38.9090144,-77.0513545,[],"['38.9092017_-77.0509646', '38.90860138181818_-77.05180413636364']"
38.909389_-77.0505747,38.909389,-77.0505747,[],"['38.9093591_-77.05114645', '38.909796_-77.05064933333333', '38.9092017_-77.0509646']"
38.9117504_-77.0519351,38.9117504,-77.0519351,[],['38.911370266666665_-77.05155626666667']
38.9124768_-77.0533335,38.9124768,-77.0533335,[],['38.91223466666667_-77.05286736666666']
38.912608_-77.0416551,38.912608,-77.0416551,[],"['38.9122426_-77.04165585', '38.9126069_-77.0422474']"
38.9126066_-77.0450674,38.9126066,-77.0450674,[],['38.9126074_-77.0452388']
38.9126086_-77.0475634,38.9126086,-77.0475634,[],"['38.912270899999996_-77.0479091', '38.9126082_-77.04817875']"
38.9110537_-77.0539383,38.9110537,-77.0539383,[],['38.9108219_-77.0544439']
38.9125694_-77.058248,38.9125694,-77.058248,[],"['38.912062150000004_-77.05823752500001', '38.91256165_-77.0587693', '38.912065475000006_-77.0579725']"
38.9028154_-77.0393936,38.9028154,-77.0393936,[],['38.9032758_-77.0396559']
38.9072529_-77.041951,38.9072529,-77.041951,[],"['38.9072477_-77.0421398', '38.907521900000006_-77.0421096']"
38.9020896_-77.0488223,38.9020896,-77.0488223,[],"['38.9023614_-77.0492457', '38.901898875_-77.0482794', '38.902402_-77.0488192']"
38.9052623_-77.048813,38.9052623,-77.048813,[],"['38.905654766666665_-77.04881116666667', '38.90525945_-77.0494615']"
38.9064397_-77.0488075,38.9064397,-77.0488075,[],"['38.906245733333336_-77.0482078', '38.9068432_-77.04880545']"
38.9072467_-77.0488034,38.9072467,-77.0488034,[],"['38.9075775_-77.04880234999999', '38.90724755_-77.04945219999999']"
38.9036569_-77.0533028,38.9036569,-77.0533028,[],"['38.9038628_-77.0538942', '38.90368286666667_-77.05267163333333', '38.904189233333334_-77.0533022', '38.90343463333333_-77.05267363333333', '38.9038628_-77.0538942']"
38.9038628_-77.0538942,38.9038628,-77.0538942,[],"['38.9036569_-77.0533028', '38.9036569_-77.0533028', '38.904002649999995_-77.05431965']"
38.8995974_-77.0417067,38.8995974,-77.0417067,[],"['38.899402099999996_-77.041145075', '38.899802699999995_-77.04229360000001', '38.89991315_-77.04170415']"
38.908978_-77.056908,38.908978,-77.056908,[],['38.9089835_-77.0563676']
38.901556_-77.0523593,38.901556,-77.0523593,[],"['38.9015658_-77.05283080000001', '38.9011782_-77.0523593', '38.9019552_-77.0523466', '38.9019552_-77.0523466', '38.9011782_-77.0523593']"
38.9019552_-77.0523466,38.9019552,-77.0523466,[],"['38.901556_-77.0523593', '38.901556_-77.0523593']"
38.9011782_-77.0523593,38.9011782,-77.0523593,[],"['38.901556_-77.0523593', '38.901556_-77.0523593']"
38.9060975_-77.0570505,38.9060975,-77.0570505,[],"['38.90609225_-77.05758635000001', '38.90635853333333_-77.05663466666667', '38.906483699999995_-77.05705689999999', '38.905671_-77.0570396']"
38.9068699_-77.0570633,38.9068699,-77.0570633,[],"['38.90686375_-77.0575951', '38.90687525_-77.05643315', '38.907284149999995_-77.0570691', '38.906483699999995_-77.05705689999999']"
38.9085277_-77.0570933,38.9085277,-77.0570933,[],"['38.9085194_-77.05762785', '38.9085372_-77.0564648', '38.908942249999996_-77.0571024', '38.90811305_-77.0570841']"
38.9056438_-77.0416914,38.9056438,-77.0416914,[],"['38.906063450000005_-77.04168945', '38.905644333333335_-77.04227773333334']"
38.9052566_-77.05011,38.9052566,-77.05011,[],"['38.9052554_-77.0507595', '38.904750533333335_-77.0501112']"
38.9052539_-77.053301,38.9052539,-77.053301,[],"['38.904721566666666_-77.0533016', '38.90565312_-77.0529222', '38.9052536_-77.05378383333334']"
38.9103884_-77.0379538,38.9103884,-77.0379538,[],['38.9103892_-77.0385233']
38.9102179_-77.0541554,38.9102179,-77.0541554,[],"['38.9102112_-77.0547705', '38.9102112_-77.0547705']"
38.906087_-77.0581222,38.906087,-77.0581222,[],"['38.90608305_-77.05864855', '38.90609225_-77.05758635000001', '38.906472300000004_-77.05812455', '38.90566405_-77.05812065']"
38.9068576_-77.0581269,38.9068576,-77.0581269,[],"['38.906852549999996_-77.05865635', '38.90686375_-77.0575951', '38.90727195_-77.05813615', '38.906472300000004_-77.05812455']"
38.9085111_-77.0581624,38.9085111,-77.0581624,[],"['38.908504_-77.05869165', '38.9085194_-77.05762785', '38.9089292_-77.0581736', '38.9080987_-77.05815390000001']"
38.907253_-77.0416825,38.907253,-77.0416825,[],"['38.9072529_-77.041951', '38.90725206_-77.04104554', '38.9076993_-77.04168072499999']"
38.9072484_-77.050101,38.9072484,-77.050101,[],"['38.907249199999995_-77.050754', '38.90724755_-77.04945219999999', '38.906750450000004_-77.05010325']"
38.9037384_-77.0501136,38.9037384,-77.0501136,[],"['38.90340485_-77.05016330000001', '38.9037384_-77.0495531']"
38.9098315_-77.0493044,38.9098315,-77.0493044,[],['38.9096402_-77.0493381']
38.9025288_-77.0416984,38.9025288,-77.0416984,[],"['38.9026444_-77.0416979', '38.9025266_-77.0415328', '38.9025292_-77.0420802', '38.9025266_-77.0415328', '38.9025292_-77.0420802']"
38.8988459_-77.053158,38.8988459,-77.053158,[],"['38.8990921_-77.0532177', '38.899018_-77.0534857']"
38.9091723_-77.0429475,38.9091723,-77.0429475,[],['38.9093131_-77.0427757']
38.9090961_-77.0437997,38.9090961,-77.0437997,[],"['38.9090307_-77.0435271', '38.9090307_-77.0435271']"
38.9092193_-77.0440153,38.9092193,-77.0440153,[],"['38.9089863_-77.0440654', '38.9090961_-77.0437997']"
38.909532_-77.0442206,38.909532,-77.0442206,[],['38.9092193_-77.0440153']
38.9102683_-77.0434152,38.9102683,-77.0434152,[],"['38.910391_-77.0437353', '38.9101148_-77.0439701']"
38.9102192_-77.0431301,38.9102192,-77.0431301,[],"['38.9102683_-77.0434152', '38.9100585_-77.0428537', '38.9100585_-77.0428537']"
38.9100585_-77.0428537,38.9100585,-77.0428537,[],"['38.9102192_-77.0431301', '38.9103203_-77.0428155', '38.9102192_-77.0431301']"
38.9097683_-77.0426624,38.9097683,-77.0426624,[],['38.9100585_-77.0428537']
38.9094931_-77.042673,38.9094931,-77.042673,[],"['38.909652066666666_-77.0431569', '38.9095571_-77.0426558']"
38.9037365_-77.0416947,38.9037365,-77.0416947,[],"['38.9037366_-77.04127754999999', '38.9037985_-77.0416951']"
38.9025789_-77.059108,38.9025789,-77.059108,[],"['38.90220045_-77.05910355', '38.90257735_-77.0596209', '38.9025666_-77.0585222', '38.9025666_-77.0585222']"
38.9024259_-77.0507933,38.9024259,-77.0507933,[],['38.9023368_-77.050763']
38.911922_-77.0504076,38.911922,-77.0504076,[],"['38.9118968_-77.0499172', '38.9121485_-77.0502508']"
38.9118749_-77.050532,38.9118749,-77.050532,[],['38.911922_-77.0504076']
38.8973602_-77.0501464,38.8973602,-77.0501464,[],"['38.8972765_-77.0501456', '38.8973603_-77.0495043', '38.89785535_-77.05014015', '38.8972765_-77.0501456']"
38.8984876_-77.0536501,38.8984876,-77.0536501,[],['38.8984737_-77.0535968']
38.8990921_-77.0532177,38.8990921,-77.0532177,[],"['38.8993468_-77.0530461', '38.8993376_-77.0535334']"
38.9015756_-77.0533023,38.9015756,-77.0533023,[],"['38.901575550000004_-77.05366914999999', '38.9015658_-77.05283080000001', '38.901139400000005_-77.05330645000001', '38.9019912_-77.05330175']"
38.9015755_-77.054036,38.9015755,-77.054036,[],"['38.901498_-77.0540348', '38.901575550000004_-77.05366914999999', '38.901498_-77.0540348', '38.9019615_-77.0540421', '38.9019615_-77.0540421']"
38.9026486_-77.0530701,38.9026486,-77.0530701,[],"['38.9026506_-77.0533076', '38.9025748_-77.0533771']"
38.9056532_-77.054748,38.9056532,-77.054748,[],"['38.905253_-77.0547495', '38.905253_-77.0547495']"
38.8959561_-77.0449203,38.8959561,-77.0449203,[],"['38.89595204444444_-77.04558162222223', '38.896424466666666_-77.04491900000001', '38.8959789_-77.0455091']"
38.902647_-77.0466501,38.902647,-77.0466501,[],"['38.90264773333333_-77.04729983333333', '38.9025289_-77.0466508']"
38.910391_-77.0437353,38.910391,-77.0437353,[],['38.910766249999995_-77.043955']
38.9116548_-77.0486933,38.9116548,-77.0486933,[],['38.9115149_-77.0488134']
38.9026212_-77.0494413,38.9026212,-77.0494413,[],['38.9027349_-77.0494689']
38.9025748_-77.0533771,38.9025748,-77.0533771,[],['38.9025836_-77.054012275']
38.8993298_-77.0536344,38.8993298,-77.0536344,[],"['38.8993474_-77.0540967', '38.8991901_-77.0538134']"
38.8991224_-77.0538496,38.8991224,-77.0538496,[],"['38.8988175_-77.0538979', '38.8989296_-77.05349285']"
38.8988175_-77.0538979,38.8988175,-77.0538979,[],"['38.8983329_-77.05421596666666', '38.8984876_-77.0536501']"
38.9024021_-77.0485716,38.9024021,-77.0485716,[],['38.902400533333335_-77.04793156666666']
38.9041425_-77.0547451,38.9041425,-77.0547451,[],"['38.90451266666667_-77.05474656666667', '38.904002649999995_-77.05431965', '38.904311625_-77.055229075']"
38.895824_-77.0511795,38.895824,-77.0511795,[],['38.895824649999994_-77.0506266']
38.8955467_-77.0536959,38.8955467,-77.0536959,[],['38.89601315_-77.05346697499999']
38.8974125_-77.0527802,38.8974125,-77.0527802,[],['38.89784724285715_-77.05305958571428']
38.8969509_-77.0539463,38.8969509,-77.0539463,[],"['38.896483866666664_-77.05409060000001', '38.8971037_-77.053712', '38.8971037_-77.053712']"
38.8955498_-77.0543792,38.8955498,-77.0543792,[],[]
38.8971037_-77.053712,38.8971037,-77.053712,[],"['38.8973629_-77.0534875', '38.8969509_-77.0539463', '38.8969509_-77.0539463', '38.8973629_-77.0534875']"
38.8979207_-77.0530132,38.8979207,-77.0530132,[],['38.89755256666667_-77.0531993']
38.8968163_-77.0535715,38.8968163,-77.0535715,[],"['38.896568224999996_-77.05297350000001', '38.89639413333333_-77.05384073333333']"
38.8948284_-77.0543481,38.8948284,-77.0543481,[],[]
38.8959196_-77.0508722,38.8959196,-77.0508722,[],"['38.89607863333333_-77.05154013333333', '38.895737733333334_-77.05145151666667']"
38.8963967_-77.052876,38.8963967,-77.052876,[],['38.8969046_-77.0528281']
38.8960798_-77.0515109,38.8960798,-77.0515109,[],"['38.896185433333336_-77.05196593333334', '38.89605775_-77.05082300000001']"
38.8953755_-77.0480403,38.8953755,-77.0480403,[],"['38.895506999999995_-77.0477308', '38.89569575_-77.04828165']"
38.8958253_-77.0500737,38.8958253,-77.0500737,[],"['38.895777075_-77.0494300875', '38.895712849999995_-77.04956535']"
38.90087_-77.0561091,38.90087,-77.0561091,[],"['38.9006958_-77.0558466', '38.9006752_-77.0560925', '38.9006761_-77.0564567']"
38.9006752_-77.0560925,38.9006752,-77.0560925,[],"['38.9006958_-77.0558466', '38.9004508_-77.0560818', '38.9004508_-77.0560818']"
38.9044712_-77.0563005,38.9044712,-77.0563005,[],"['38.90410155_-77.05645200000001', '38.904819_-77.056681', '38.90488421818182_-77.05585086363637']"
38.9037319_-77.0566035,38.9037319,-77.0566035,[],"['38.90410155_-77.05645200000001', '38.9035581_-77.0566275', '38.9035581_-77.0566275']"
38.9006737_-77.0566939,38.9006737,-77.0566939,[],"['38.9006775_-77.0565094', '38.9005111_-77.0563892']"
38.9003485_-77.0560845,38.9003485,-77.0560845,[],"['38.9004508_-77.0560818', '38.900041975_-77.055525775', '38.9004508_-77.0560818']"
38.9004508_-77.0560818,38.9004508,-77.0560818,[],"['38.9006752_-77.0560925', '38.9003485_-77.0560845', '38.9003485_-77.0560845', '38.9006752_-77.0560925', '38.9006775_-77.0565094']"
38.9006775_-77.0565094,38.9006775,-77.0565094,[],"['38.9006761_-77.0564567', '38.9008083_-77.05682345', '38.9006761_-77.0564567']"
38.9016164_-77.0557762,38.9016164,-77.0557762,[],"['38.9019303_-77.0560876', '38.9014568_-77.0561231']"
38.9004557_-77.0547359,38.9004557,-77.0547359,[],"['38.900842600000004_-77.05508266666666', '38.900974725_-77.054864175']"
38.9014568_-77.0561231,38.9014568,-77.0561231,[],['38.9011634_-77.0561161']
38.9026141_-77.0593459,38.9026141,-77.0593459,[],[]
38.9025318_-77.055249,38.9025318,-77.055249,[],"['38.9029377_-77.05519863333333', '38.90254551666666_-77.05593181666667']"
38.9025439_-77.0567126,38.9025439,-77.0567126,[],"['38.902518_-77.056422', '38.9025472_-77.0573852']"
38.902518_-77.056422,38.902518,-77.056422,[],"['38.902503_-77.0561488', '38.902418_-77.0560901']"
38.90261_-77.0559178,38.90261,-77.0559178,[],"['38.9025843_-77.0562174', '38.9026391_-77.0562868', '38.9024982_-77.0560495', '38.90298396666667_-77.05614636666667']"
38.902418_-77.0560901,38.902418,-77.0560901,[],"['38.902503_-77.0561488', '38.9024553_-77.05571005', '38.9019303_-77.0560876', '38.9019303_-77.0560876']"
38.9025505_-77.0580578,38.9025505,-77.0580578,[],"['38.90308862_-77.05807006', '38.9025472_-77.0573852', '38.9025666_-77.0585222', '38.9025666_-77.0585222']"
38.9018647_-77.0572118,38.9018647,-77.0572118,[],['38.90141025_-77.05722425']
38.9024982_-77.0560495,38.9024982,-77.0560495,[],"['38.902418_-77.0560901', '38.9024954_-77.05568975']"
38.9026391_-77.0562868,38.9026391,-77.0562868,[],"['38.9025727_-77.0564301', '38.9026341_-77.05689862']"
38.9031871_-77.0566434,38.9031871,-77.0566434,[],"['38.9029131_-77.0564651', '38.9035581_-77.0566275']"
38.9025727_-77.0564301,38.9025727,-77.0564301,[],['38.9025439_-77.0567126']
38.902503_-77.0561488,38.902503,-77.0561488,[],"['38.9024982_-77.0560495', '38.9025843_-77.0562174']"
38.9025843_-77.0562174,38.9025843,-77.0562174,[],"['38.9025727_-77.0564301', '38.9026391_-77.0562868']"
38.9026466_-77.0373165,38.9026466,-77.0373165,[],['38.90264595_-77.03791749999999']
38.9024182_-77.0373889,38.9024182,-77.0373889,[],[]
38.9023954_-77.0424297,38.9023954,-77.0424297,[],"['38.9025288_-77.0421621', '38.9023952_-77.04206575']"
38.9025288_-77.0421621,38.9025288,-77.0421621,[],"['38.90252615_-77.04255380000001', '38.9025292_-77.0420802', '38.9025292_-77.0420802']"
38.9025266_-77.0415328,38.9025266,-77.0415328,[],"['38.9025288_-77.0416984', '38.9023967_-77.0412215', '38.9025288_-77.0416984', '38.9025283_-77.0412323', '38.9025283_-77.0412323']"
38.9023967_-77.0412215,38.9023967,-77.0412215,[],['38.9023977_-77.0407897']
38.9026443_-77.0409415,38.9026443,-77.0409415,[],"['38.9025283_-77.0412323', '38.90264435_-77.0413197']"
38.9025283_-77.0412323,38.9025283,-77.0412323,[],"['38.9025266_-77.0415328', '38.9025301_-77.04083725000001', '38.9025266_-77.0415328']"
38.9023977_-77.0407897,38.9023977,-77.0407897,[],"['38.9025319_-77.0404422', '38.9023998_-77.04015075000001']"
38.9025319_-77.0404422,38.9025319,-77.0404422,[],"['38.9025301_-77.04083725000001', '38.902530850000005_-77.0399778']"
38.9026441_-77.0441183,38.9026441,-77.0441183,[],"['38.9025258_-77.04443', '38.902645250000006_-77.0444926']"
38.9025258_-77.04443,38.9025258,-77.04443,[],"['38.9025278_-77.0448671', '38.9025294_-77.0437945', '38.9025278_-77.0448671', '38.9025294_-77.0437945']"
38.9025284_-77.0436215,38.9025284,-77.0436215,[],"['38.9025261_-77.0434635', '38.9026453_-77.0439224', '38.9025261_-77.0434635', '38.9025294_-77.0437945', '38.9025294_-77.0437945']"
38.9026453_-77.0439224,38.9026453,-77.0439224,[],['38.9026441_-77.0441183']
38.9025244_-77.0433363,38.9025244,-77.0433363,[],"['38.9025261_-77.0434635', '38.9023963_-77.0429891', '38.9025235_-77.0429455', '38.9025261_-77.0434635', '38.9025235_-77.0429455']"
38.9023963_-77.0429891,38.9023963,-77.0429891,[],['38.9023954_-77.0424297']
38.9026492_-77.0427269,38.9026492,-77.0427269,[],"['38.9025235_-77.0429455', '38.90264605_-77.0430948']"
38.9025235_-77.0429455,38.9025235,-77.0429455,[],"['38.9025244_-77.0433363', '38.90252615_-77.04255380000001', '38.9025244_-77.0433363']"
38.9025292_-77.0420802,38.9025292,-77.0420802,[],"['38.9025288_-77.0416984', '38.9025288_-77.0421621', '38.9026504_-77.0423383', '38.9025288_-77.0421621', '38.9025288_-77.0416984']"
38.9026504_-77.0423383,38.9026504,-77.0423383,[],['38.9026492_-77.0427269']
38.9023961_-77.0455995,38.9023961,-77.0455995,[],"['38.9025285_-77.0452706', '38.90239725_-77.0452334']"
38.9025285_-77.0452706,38.9025285,-77.0452706,[],"['38.9025285_-77.0450696', '38.9025288_-77.045821', '38.9025285_-77.0450696', '38.9025288_-77.045821']"
38.9025285_-77.0450696,38.9025285,-77.0450696,[],"['38.9025278_-77.0448671', '38.9025285_-77.0452706', '38.902644_-77.0453495', '38.9025285_-77.0452706', '38.9025278_-77.0448671']"
38.902644_-77.0453495,38.902644,-77.0453495,[],['38.9026429_-77.0460434']
38.9023996_-77.0441293,38.9023996,-77.0441293,[],"['38.9025294_-77.0437945', '38.9023983_-77.0434655']"
38.9025294_-77.0437945,38.9025294,-77.0437945,[],"['38.9025258_-77.04443', '38.9025284_-77.0436215', '38.9025258_-77.04443', '38.9025284_-77.0436215']"
38.9024118_-77.0530178,38.9024118,-77.0530178,[],['38.90241296666667_-77.05248553333334']
38.9025294_-77.0461193,38.9025294,-77.0461193,[],"['38.9023963_-77.0458805', '38.9025298_-77.0462875', '38.9025288_-77.045821', '38.9025298_-77.0462875', '38.9025288_-77.045821']"
38.9023963_-77.0458805,38.9023963,-77.0458805,[],['38.9023961_-77.0455995']
38.902395_-77.0417018,38.902395,-77.0417018,[],"['38.9025288_-77.0416984', '38.9023967_-77.0412215']"
38.9026444_-77.0416979,38.9026444,-77.0416979,[],"['38.90319045_-77.0416963', '38.9026504_-77.0423383']"
38.9026506_-77.0533076,38.9026506,-77.0533076,[],"['38.90301733333333_-77.05378533333334', '38.90315375_-77.0533052']"
38.9023984_-77.0448673,38.9023984,-77.0448673,[],"['38.9025278_-77.0448671', '38.902399_-77.0444983']"
38.9023983_-77.0434655,38.9023983,-77.0434655,[],"['38.9023963_-77.0429891', '38.90186395_-77.04346435']"
38.9026429_-77.0460434,38.9026429,-77.0460434,[],"['38.9025298_-77.0462875', '38.902647_-77.0466501']"
38.9026464_-77.0448669,38.9026464,-77.0448669,[],"['38.90318995_-77.04488565', '38.902644_-77.0453495']"
38.9026429_-77.0434627,38.9026429,-77.0434627,[],"['38.9025261_-77.0434635', '38.9026453_-77.0439224']"
38.9026492_-77.0485993,38.9026492,-77.0485993,[],"['38.9024021_-77.0485716', '38.902649_-77.0488179']"
38.902402_-77.0488192,38.902402,-77.0488192,[],"['38.902649_-77.0488179', '38.9024021_-77.0485716']"
38.902649_-77.0488179,38.902649,-77.0488179,[],"['38.903194049999996_-77.04881645', '38.9027349_-77.0494689']"
38.9027168_-77.0509825,38.9027168,-77.0509825,[],"['38.9024259_-77.0507933', '38.9026491_-77.051416']"
38.904819_-77.056681,38.904819,-77.056681,[],"['38.9049391_-77.0570262', '38.904649875000004_-77.056197025', '38.9049391_-77.0570262']"
38.897376_-77.0558658,38.897376,-77.0558658,[],"['38.897369850000004_-77.05535895', '38.897627_-77.0560402']"
38.8993376_-77.0535334,38.8993376,-77.0535334,[],['38.8993389_-77.0535872']
38.8993474_-77.0540967,38.8993474,-77.0540967,[],['38.899623250000005_-77.054592975']
38.8981619_-77.0533585,38.8981619,-77.0533585,[],"['38.8977624_-77.05342300000001', '38.8985979_-77.0531999']"
38.8985979_-77.0531999,38.8985979,-77.0531999,[],['38.8987368_-77.0531361']
38.8972089_-77.0504636,38.8972089,-77.0504636,[],"['38.8973753_-77.0503198', '38.8970395_-77.050144']"
38.8973753_-77.0503198,38.8973753,-77.0503198,[],['38.89767365_-77.05089559999999']
38.8991901_-77.0538134,38.8991901,-77.0538134,[],"['38.8993474_-77.0540967', '38.8991224_-77.0538496']"
38.896474_-77.0487318,38.896474,-77.0487318,[],"['38.89677836_-77.04929747999999', '38.8965798_-77.0488632']"
38.8965798_-77.0488632,38.8965798,-77.0488632,[],"['38.89681203333333_-77.04929066666666', '38.8969701_-77.0488627']"
38.8972765_-77.0501456,38.8972765,-77.0501456,[],"['38.8973602_-77.0501464', '38.8973602_-77.0501464', '38.8970395_-77.050144', '38.8973753_-77.0503198', '38.8970395_-77.050144']"
38.8979958_-77.0515602,38.8979958,-77.0515602,[],['38.8982506_-77.052035']
38.8978568_-77.0515652,38.8978568,-77.0515652,[],"['38.8975547_-77.05100994', '38.897532850000005_-77.0510144']"
38.8970395_-77.050144,38.8970395,-77.050144,[],"['38.8972765_-77.0501456', '38.8965376_-77.05013955000001', '38.8972765_-77.0501456', '38.896808433333334_-77.0496923']"
38.8957588_-77.0473841,38.8957588,-77.0473841,[],['38.8960214_-77.0478725']
38.8960214_-77.0478725,38.8960214,-77.0478725,[],"['38.8960156_-77.0481646', '38.8962477_-77.04830215']"
38.8982506_-77.052035,38.8982506,-77.052035,[],"['38.8981673_-77.0521109', '38.89854825_-77.05259649999999']"
38.9007405_-77.0568199,38.9007405,-77.0568199,[],['38.9006737_-77.0566939']
38.9037508_-77.0547408,38.9037508,-77.0547408,[],"['38.9038068_-77.0543175', '38.9041425_-77.0547451', '38.9037495_-77.0550979', '38.9037495_-77.0550979']"
38.91061_-77.0507986,38.91061,-77.0507986,[],"['38.910202999999996_-77.05072396666667', '38.910990133333335_-77.05117743333332']"
38.9020388_-77.0503798,38.9020388,-77.0503798,[],"['38.9020315_-77.0499163', '38.901882_-77.0501119']"
38.9006761_-77.0564567,38.9006761,-77.0564567,[],"['38.9006775_-77.0565094', '38.9006775_-77.0565094', '38.9006752_-77.0560925']"
38.9064831_-77.0416875,38.9064831,-77.0416875,[],"['38.9067831_-77.0416837', '38.906477333333335_-77.04227493333333', '38.90606355_-77.04144335']"
38.9024068_-77.0533012,38.9024068,-77.0533012,[],['38.9024118_-77.0530178']
38.9039252_-77.0488138,38.9039252,-77.0488138,[],"['38.9037384_-77.0489926', '38.9043709_-77.04881353333333', '38.904265550000005_-77.0484935', '38.9037384_-77.0489926']"
38.9037384_-77.0489926,38.9037384,-77.0489926,[],"['38.9039252_-77.0488138', '38.9039252_-77.0488138', '38.9037391_-77.048815', '38.903353949999996_-77.04935165']"
38.9023614_-77.0492457,38.9023614,-77.0492457,[],"['38.902402_-77.0488192', '38.9026212_-77.0494413']"
38.9049391_-77.0570262,38.9049391,-77.0570262,[],"['38.9052445_-77.0570287', '38.904819_-77.056681', '38.9052445_-77.0570287', '38.9051072_-77.057402', '38.904819_-77.056681']"
