pano_heading_id,lat,long,has_sun_glare,pano_id,heading,angle_risk,blockage_type
qAqYtHuBaqqI2MGpXRF8xg_39.359637860007695,38.31404876057567,-77.47263477161727,False,qAqYtHuBaqqI2MGpXRF8xg,39.359637860007695,False,none
qAqYtHuBaqqI2MGpXRF8xg_219.3596378600077,38.31404876057567,-77.47263477161727,False,qAqYtHuBaqqI2MGpXRF8xg,219.3596378600077,False,none
FQYu3m2vLozN7_eEHqhiXA_39.365304224908186,38.314480224944845,-77.47196446173606,False,FQYu3m2vLozN7_eEHqhiXA,39.365304224908186,False,none
FQYu3m2vLozN7_eEHqhiXA_219.3653042249082,38.314480224944845,-77.47196446173606,False,FQYu3m2vLozN7_eEHqhiXA,219.3653042249082,False,none
yhhe7GBzIhlMLKa575zPTg_38.3477665663919,38.31427102470243,-77.47376239045911,False,yhhe7GBzIhlMLKa575zPTg,38.3477665663919,False,none
yhhe7GBzIhlMLKa575zPTg_218.89665106196975,38.31427102470243,-77.47376239045911,False,yhhe7GBzIhlMLKa575zPTg,218.89665106196975,False,none
uv301gDaZLa1yjD05jBp2g_148.65891457746386,38.31451861863239,-77.47540058226204,True,uv301gDaZLa1yjD05jBp2g,148.65891457746386,True,none
uv301gDaZLa1yjD05jBp2g_330.11733908278393,38.31451861863239,-77.47540058226204,False,uv301gDaZLa1yjD05jBp2g,330.11733908278393,False,none
KZsYdWOWGJxgBbUTKQS9oA_242.61091465699013,38.31363888424194,-77.47526575276656,False,KZsYdWOWGJxgBbUTKQS9oA,242.61091465699013,False,none
8JErLm_J8PcGDL2PsOutPQ_243.37276490700887,38.31299165338457,-77.4756886468568,False,8JErLm_J8PcGDL2PsOutPQ,243.37276490700887,False,none
CAoSLEFGMVFpcE1PQTBXdHg0Z0I2WE82eTE0LTdsb1VSQzctT012SktmRFRKMkVW_243.04110054370207,38.31234013432654,-77.47610493951099,False,CAoSLEFGMVFpcE1PQTBXdHg0Z0I2WE82eTE0LTdsb1VSQzctT012SktmRFRKMkVW,243.04110054370207,False,none
dU2D27oFQJgtpGloorSuiw_242.30472981024423,38.31169097795821,-77.47652484259623,False,dU2D27oFQJgtpGloorSuiw,242.30472981024423,False,none
CAoSLEFGMVFpcE5tcS1lbGV1TTFVTVM2LUxKcEJ6WnVGT0pJVXFCMEREcDd3Q19G_240.699100579967,38.31105367337918,-77.4769624279134,False,CAoSLEFGMVFpcE5tcS1lbGV1TTFVTVM2LUxKcEJ6WnVGT0pJVXFCMEREcDd3Q19G,240.699100579967,False,none
qHscNFLu34sw-jBWzwOYEg_50.97551047770156,38.31527390930152,-77.47542382477418,False,qHscNFLu34sw-jBWzwOYEg,50.97551047770156,False,none
qHscNFLu34sw-jBWzwOYEg_229.97644269997093,38.31527390930152,-77.47542382477418,False,qHscNFLu34sw-jBWzwOYEg,229.97644269997093,False,none
vgeeaEaPhFRrLroNiTjdDg_150.47996165643042,38.3149940980733,-77.47642104305001,False,vgeeaEaPhFRrLroNiTjdDg,150.47996165643042,True,tree
vgeeaEaPhFRrLroNiTjdDg_330.28563678335155,38.3149940980733,-77.47642104305001,False,vgeeaEaPhFRrLroNiTjdDg,330.28563678335155,False,none
O_4Y2CWb0uJlbgKebjkIEA_51.882145002790026,38.315761253681,-77.47631174631901,False,O_4Y2CWb0uJlbgKebjkIEA,51.882145002790026,False,none
O_4Y2CWb0uJlbgKebjkIEA_231.41354496292348,38.315761253681,-77.47631174631901,False,O_4Y2CWb0uJlbgKebjkIEA,231.41354496292348,False,none
